"Brian Oh","2016-08-09 21:42:40 -0400","Final Version"
"Brian Oh","2016-08-09 21:42:04 -0400","Final version v.06 (fixed previous edit errors)"
"Brian Oh","2016-08-09 21:30:58 -0400","Merge branch 'master' of https://github.com/UPOD-2016/upod_docs"
"Brian Oh","2016-08-09 21:30:23 -0400","Updated SQA logs"
"Derek Cruise","2016-08-09 19:31:55 -0400","Fixed date inconsistency"
"Derek Cruise","2016-08-09 19:24:06 -0400","SQA revisions"
"Derek Cruise","2016-08-09 19:06:46 -0400","standardized dates to MM/DD/YY"
"Derek Cruise","2016-08-09 19:01:33 -0400","Fixed version number and date"
"Derek Cruise","2016-08-09 18:51:28 -0400","Made SQA changes"
"DDrant717","2016-08-09 18:49:43 -0400","Add files via upload"
"Ryan","2016-08-09 18:45:49 -0400","Fixed Link Issue"
"Ryan","2016-08-09 18:37:20 -0400","Renamed Diagram"
"Ryan","2016-08-09 18:35:00 -0400","Changed Use Case Diagram"
"Brian Oh","2016-08-09 17:46:45 -0400","Updated Analysis Documents v0.2"
"Ryan","2016-08-09 17:40:47 -0400","Clarified a few topics"
"QamarFarooq","2016-08-09 14:14:30 -0400","fixed"
"QamarFarooq","2016-08-09 14:10:46 -0400","Fixed something"
"QamarFarooq","2016-08-09 14:02:28 -0400","I worked on this for many hours but it was scrapped for other enhancements"
"giacrom","2016-08-08 23:07:19 -0400","reset button complete, diagram complete"
"Pillip Lee","2016-08-08 22:46:10 -0400","Update team-info.txt"
"Pillip Lee","2016-08-08 22:36:26 -0400","Modular Version"
"Pillip Lee","2016-08-08 22:32:03 -0400","Add files via upload"
"wu wen","2016-08-08 17:35:36 -0400","Update equalarea.html"
"wu wen","2016-08-08 17:33:41 -0400","Update readme.txt"
"wu wen","2016-08-08 17:33:20 -0400","Create equalarea.js"
"wu wen","2016-08-08 17:32:52 -0400","Create equalarea.html"
"TheCocoManEd","2016-08-08 17:04:22 -0400","Add files via upload"
"Ensieh Mollazadeh","2016-08-08 15:44:52 -0400","Smaller version of concave mirror"
"giacrom","2016-08-08 01:10:35 -0400","Fix collision correctness and button"
"wu wen","2016-08-07 21:33:57 -0400","Create Methods of Inducing Electric Charge"
"Ryan Mak","2016-08-07 14:52:04 -0400","Minor file edits"
"Ryan Mak","2016-08-07 14:04:07 -0400","Minor Text Fixes"
"gstarmvp","2016-08-06 04:58:41 -0400","minify the css sheet"
"swar8080","2016-08-05 14:47:39 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"swar8080","2016-08-05 14:47:21 -0400","article class diagram png upload"
"Joseph","2016-08-05 14:20:32 -0400","Remove the onload call to the animate function from the velocity and acceleration diagram"
"wu wen","2016-08-05 11:37:53 -0400","Update magnetic.html"
"wu wen","2016-08-05 11:36:38 -0400","Update spring.html"
"wu wen","2016-08-05 11:35:44 -0400","Update induction.html"
"wu wen","2016-08-05 11:34:05 -0400","Update contact.html"
"wu wen","2016-08-05 11:33:29 -0400","Update contact.html"
"wu wen","2016-08-05 11:32:43 -0400","Update Friction.html"
"swar8080","2016-08-05 01:02:02 -0400","updated Article class diagram"
"giacrom","2016-08-04 00:03:45 -0400","Update readme.txt"
"giacrom","2016-08-04 00:03:18 -0400","Update elastic_collision.html"
"giacrom","2016-08-04 00:02:46 -0400","Update elastic_collision.js"
"Joseph","2016-08-03 18:38:03 -0400","Combine the css, javascript and svg into one html file for each of the four diagrams in order to integrate them into the UPOD website"
"viss3240","2016-08-03 16:32:03 -0400","Alter projectile motion diagram to fit the 1000 x 1000 demension limit for articles"
"wu wen","2016-08-02 22:21:15 -0400","Update readme.txt"
"wu wen","2016-08-02 22:20:51 -0400","Create magnetic.js"
"wu wen","2016-08-02 22:15:48 -0400","Create magnetic.html"
"chan6240","2016-08-02 21:27:50 -0400","Added additional graphics requirements defects"
"rmoro","2016-08-02 02:41:07 -0400","individual reports for each major section of the code"
"rmoro","2016-08-02 02:34:49 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD_DOCS"
"rmoro","2016-08-02 02:34:41 -0400","Style Guide Report for current UPOD"
"WALLISE WU","2016-07-31 22:12:45 -0400","completed SQA on fundamentals physics research"
"WALLISE WU","2016-07-31 21:49:22 -0400","final copy"
"giacrom","2016-07-31 15:59:45 -0400","Update elastic_collision.svg"
"rmoro","2016-07-30 19:11:51 -0400","added a security report which has suggestions to change code that contains known vulnerabilities"
"Muttahir Zia","2016-07-30 10:14:27 -0400","Added initial SQA review of website"
"wu wen","2016-07-29 19:31:29 -0400","Create readme.txt"
"wu wen","2016-07-29 18:43:26 -0400","Update Diagrams.csv"
"wu wen","2016-07-29 18:36:30 -0400","Update readme.txt"
"wu wen","2016-07-29 18:35:04 -0400","Create induction.js"
"wu wen","2016-07-29 18:32:29 -0400","Create induction.html"
"Mike Roher","2016-07-29 17:27:44 +0000","update readme"
"Mike Roher","2016-07-29 17:09:28 +0000","DELETED RAILS APP FROM THIS REPO - PLEASE USE NEW REPO"
"Mike Roher","2016-07-29 15:42:13 +0000","initial deployment started"
"swar8080","2016-07-29 01:08:37 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"swar8080","2016-07-29 01:08:18 -0400","added a custom text block for including inline equations, started working on a how-to guide for article editor page, fixed bug causing other blocks to not render following a link block"
"stevenlusonggao","2016-07-28 22:26:26 -0400","Minor Tweaks for Hooke's & Reflection Animations"
"romanlipisiy","2016-07-28 21:58:43 -0400","Update Diagrams.csv"
"Roman Lipisiy","2016-07-28 21:57:11 -0400","complete uniform circular motion svg diagram"
"Omid","2016-07-28 18:50:02 -0400","was missing a </div> causing purple background"
"Mike Roher","2016-07-28 21:53:49 +0000","CSS Styling Caused Form Error"
"wu wen","2016-07-28 16:18:15 -0400","Update readme.txt"
"wu wen","2016-07-28 16:17:09 -0400","Create contact.html"
"wu wen","2016-07-28 16:16:10 -0400","Create Contact.js"
"giacrom","2016-07-28 14:41:38 -0400","Update readme.txt"
"giacrom","2016-07-28 14:39:39 -0400","Update elastic_collision.js"
"giacrom","2016-07-28 14:36:48 -0400","Update elastic_collision.svg"
"Ensieh Mollazadeh","2016-07-28 14:26:30 -0400","has added some details to concave mirror"
"Ensieh Mollazadeh","2016-07-28 14:22:26 -0400","has corrected the dragging issue on convex mirror"
"rmoro","2016-07-28 03:36:23 -0400","merge accident"
"rmoro","2016-07-28 03:34:50 -0400","fix merge conflict"
"rmoro","2016-07-28 03:31:29 -0400","made sure the drop down remembers the filter selected.  Added some more filter logic as well."
"Mike Roher","2016-07-28 07:30:11 +0000","Resolve merge conflict"
"Mike Roher","2016-07-28 07:24:13 +0000","Added Title Helper Method, Fixed JS and Started Preparing For Production"
"rmoro","2016-07-28 03:19:25 -0400","added logic to show search results if there is a query.  Filter still needs some work"
"rmoro","2016-07-28 02:40:15 -0400","missed a comma"
"rmoro","2016-07-28 02:06:40 -0400","added logic for search filtration"
"rmoro","2016-07-28 01:51:15 -0400","final change takes care of distortion on mobile (small) screens"
"rmoro","2016-07-28 01:43:47 -0400","old script was left in from testing... removed"
"rmoro","2016-07-28 01:41:31 -0400","changed hackish approach to make sure footer is at bottom of each page even if page has no cotent"
"rmoro","2016-07-28 00:52:37 -0400","made sure static footer is at the bottom of each page"
"rmoro","2016-07-28 00:45:17 -0400","Legal info taking up far to much room.  I changed the footer away from being fixed to fix this issue.  I don't think we are in danger of breaking the law so bad that we must constantly remind users of our legal policy."
"rmoro","2016-07-27 23:32:13 -0400","changed from ` (function($, window){` to `  $(function($, window){` becuase the $ means it waits for the page to load (or in js `$(document).ready(){` )"
"rmoro","2016-07-27 23:08:31 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"rmoro","2016-07-27 23:08:23 -0400","moved the script to only be in one file"
"kcolletripp","2016-07-27 22:45:06 -0400","redid fixed footer, needs a sticky footer"
"Omid","2016-07-27 22:12:56 -0400","made the categories button resizable by text length"
"kcolletripp","2016-07-27 21:28:52 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"kcolletripp","2016-07-27 21:28:37 -0400","added legal info"
"Omid","2016-07-27 21:24:00 -0400","Added some space between the elements"
"rmoro","2016-07-27 21:04:00 -0400","fixed the sizing of the select_tag element"
"Omid","2016-07-27 20:44:59 -0400","Made the categories index page look similar to the homepage, fixed the categories page added the subcategories links in it and styled it abit. made the sign in, sign out, forgot password,resend confirmation pages look less ugly, fixed the issue of the header with mobile browsers (where the header would not collapse). Articles would not show up in their respective subcategories, now they do."
"viss3240","2016-07-27 14:38:34 -0400","Add documentation for ProjectileMotion and VectorMath SVG diagrams"
"viss3240","2016-07-27 12:43:52 -0400","Update readme.txt"
"Roman Lipisiy","2016-07-26 22:42:00 -0400","fix animation"
"Jimmyqlx","2016-07-26 16:29:44 -0400","pagerank algorithm in ruby"
"Roman Lipisiy","2016-07-26 15:12:12 -0400","Create circular motion svg"
"josephvannelli","2016-07-26 13:36:41 -0400","Update Diagrams.csv"
"Joseph","2016-07-26 13:31:27 -0400","Create the distance vs. displacement diagram"
"Mike Roher","2016-07-26 03:03:30 -0400","Update update_stats.sh"
"Mike Roher","2016-07-26 05:47:00 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD"
"Mike Roher","2016-07-26 05:46:45 +0000","Added ability to edit images in posts and made alerts/notices look nicer"
"Kieran O'Driscoll","2016-07-26 05:34:59 +0000","Minor changes to dashboards"
"Kieran O'Driscoll","2016-07-26 05:24:06 +0000","Minor fixes to dashboards"
"Kieran O'Driscoll","2016-07-26 05:18:55 +0000","Dashboard improvements"
"Omid","2016-07-26 01:02:27 -0400","Formatted the article page a little bit."
"Kieran O'Driscoll","2016-07-26 04:57:51 +0000","Clean up admin panel, hide unnessecary dashboards"
"Kieran O'Driscoll","2016-07-26 04:00:28 +0000","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"Kieran O'Driscoll","2016-07-26 04:00:02 +0000","undoing changes didnt work as expected"
"Omid","2016-07-25 23:54:51 -0400","Included a table-like structure for the articles index page. Fixed the header. Fixed the thumbnails and captions on homepage and made the search by category button visible."
"Kieran O'Driscoll","2016-07-26 03:46:56 +0000","Restrict routing on admin panel"
"Kieran O'Driscoll","2016-07-26 03:43:33 +0000","fix validations, remove unneeded validations"
"Kieran O'Driscoll","2016-07-26 03:23:54 +0000","fix admin panel error and spelling mistake"
"Kieran O'Driscoll","2016-07-26 03:16:34 +0000","Add author statements and new validations"
"Mike Roher","2016-07-26 00:11:40 +0000","Changed Rails ERD Diagram Maker"
"Mike Roher","2016-07-26 00:09:13 +0000","Removing Unused Models, Tests, and Admin Dashboards"
"Kieran O'Driscoll","2016-07-25 19:12:43 +0000","Friendly URLs for categories and subcategories"
"giacrom","2016-07-25 15:11:35 -0400","Update elastic_collision.js"
"giacrom","2016-07-25 15:10:55 -0400","Create elastic_collision.svg"
"josephvannelli","2016-07-25 14:29:00 -0400","Create readme.txt"
"josephvannelli","2016-07-25 14:25:46 -0400","Update Diagrams.csv"
"josephvannelli","2016-07-25 14:07:12 -0400","Update Diagrams.csv"
"Joseph","2016-07-25 14:04:43 -0400","Add a description about the velocity and acceleration for each of the cars"
"stevenlusonggao","2016-07-25 13:55:11 -0400","Hooke's Law Animation Minor Fixes and Additions"
"kcolletripp","2016-07-25 16:30:23 +0000","fixed header a bit, caret still out of place"
"Senorjiang","2016-07-25 10:53:44 -0400","PNGs fixed"
"Senorjiang","2016-07-25 10:47:54 -0400","Misplaced file removed"
"Senorjiang","2016-07-25 10:47:25 -0400","Files moved to proper folders, pngs updated"
"Clive Shen","2016-07-25 10:33:32 -0400","Minor edits"
"Anderszz","2016-07-25 00:17:24 -0400","SQA entire document"
"Anderszz","2016-07-24 23:57:41 -0400","SQA entire document"
"Anderszz","2016-07-24 23:32:18 -0400","Re-uploaded version 0.7 Physics RD"
"Anderszz","2016-07-24 23:30:20 -0400","Old updated record deleted - Re-uploaded"
"Anderszz","2016-07-24 23:27:35 -0400","SQA entire document"
"Anderszz","2016-07-24 23:03:49 -0400","SQA the entire document for any errors"
"Clive Shen","2016-07-24 22:42:32 -0400","Updated back end requirements revision history"
"Joseph","2016-07-24 18:08:12 -0400","Animate the other two cars, animate a light to start the race and add buttons to start and reset the animation of the cars"
"swar8080","2016-07-24 16:48:14 -0400","equation and diagram blocks are now editable in /article/edit"
"Mike Roher","2016-07-24 20:16:03 +0000","General Code Improvements Everywhere"
"Mike Roher","2016-07-24 19:26:32 +0000","fixed merge conflict in header"
"swar8080","2016-07-24 12:35:51 -0400","added as_json methods for article_blocks"
"rmoro","2016-07-23 22:46:51 -0400","changed from create(..) to create!(..) to generate stack trace on error to help mitigate issues with ImageMagick"
"Brian Oh","2016-07-23 22:09:45 -0400","Added SQA logs"
"Brian Oh","2016-07-23 19:42:05 -0400","Final revisions completed"
"Senorjiang","2016-07-23 17:24:32 -0400","Diagrams updated and pngs added"
"Senorjiang","2016-07-23 17:19:15 -0400","Titles Updated"
"Senorjiang","2016-07-23 16:41:37 -0400","Control objects fixed for articles and main page"
"Student","2016-07-23 16:01:54 -0400","Edit of SQA table, begin logging"
"swar8080","2016-07-23 15:12:26 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"swar8080","2016-07-23 15:12:03 -0400","minor changes to boundary, control, entity diagram"
"Jimmyqlx","2016-07-23 13:18:54 -0400","revised the diagram of search"
"swar8080","2016-07-23 12:10:41 -0400","minor changes to boundary, control, entity diagram"
"Omid","2016-07-23 10:54:44 -0400","Missed a tag"
"Omid","2016-07-23 10:49:53 -0400","Fixed the select button on search bar to be able to pick different categories."
"Senorjiang","2016-07-22 22:00:09 -0400","JPEG files saved"
"Senorjiang","2016-07-22 21:59:34 -0400","Boundary-Control-Entity edits made"
"swar8080","2016-07-22 17:15:57 -0400","minor changes to equation block"
"kcolletripp","2016-07-22 16:09:12 -0400","fixed header, now properly links to everything"
"kcolletripp","2016-07-22 15:56:33 -0400","added some actual content in header, did an ad-hoc merge with search changes"
"Ensieh Mollazadeh","2016-07-22 14:33:36 -0400","has solved the dragging issue in converging lense"
"Ensieh Mollazadeh","2016-07-22 14:19:41 -0400"," has solved the dragging issue on diverging lense"
"Ensieh Mollazadeh","2016-07-22 14:15:46 -0400","The dragging issue has been corrected on concave mirror"
"Omid","2016-07-22 07:56:41 -0400","Added a dropdown option for the search bar on the header and homepage"
"Mike Roher","2016-07-21 23:47:08 -0400","Update seeds.rb"
"Senorjiang","2016-07-21 20:23:33 -0400","Edits made to Entity-Boundary-Control Diagrams"
"Senorjiang","2016-07-21 19:59:30 -0400","Edits to diagrams"
"SenorJiang","2016-07-21 19:25:57 -0400","Created separate Entity-Boundary-Control diagrams"
"josephvannelli","2016-07-21 17:23:18 -0400","Update Diagrams.csv"
"Joseph","2016-07-21 17:20:22 -0400","Add 3 cars to the diagram and animate the movement of the first car"
"viss3240","2016-07-21 16:41:33 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"viss3240","2016-07-21 16:39:03 -0400","Vector math diagram basic implimentation"
"kcolletripp","2016-07-21 20:27:44 +0000","added placeholder megamenu"
"viss3240","2016-07-21 13:25:35 -0400","projectile motion diagram complete with animation"
"Mike Roher","2016-07-21 16:49:11 +0000","accidentally delted the contirubtions association on user. adding it back"
"Mike Roher","2016-07-21 16:47:26 +0000","Merging with Kieran"
"Mike Roher","2016-07-21 16:46:31 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD into no-ldap-user-flow"
"Mike Roher","2016-07-21 16:44:05 +0000","Removed LDAP"
"wu wen","2016-07-21 00:34:16 -0400","Create readme.txt"
"wu wen","2016-07-21 00:32:53 -0400","Create readme.txt"
"wu wen","2016-07-21 00:30:06 -0400","Create readme.txt"
"wu wen","2016-07-21 00:29:10 -0400","Create Friction.js"
"wu wen","2016-07-21 00:28:04 -0400","Create Friction.html"
"Kieran O'Driscoll","2016-07-21 04:24:12 +0000","Update slug method not needed, taken care of by friendlyID"
"Kieran O'Driscoll","2016-07-21 04:14:55 +0000","Create update slug method for friendly urls"
"Kieran O'Driscoll","2016-07-21 03:36:09 +0000","Install and config friendly urls"
"wu wen","2016-07-20 22:28:11 -0400","Update Diagrams.csv"
"wu wen","2016-07-20 22:26:14 -0400","Update Diagrams.csv"
"Kieran O'Driscoll","2016-07-21 02:13:24 +0000"," Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"Kieran O'Driscoll","2016-07-21 02:13:19 +0000","Add dashboard for equation block variable"
"chan6240","2016-07-21 02:07:55 +0000","Removed invalid db migration"
"Kieran O'Driscoll","2016-07-21 01:55:16 +0000","rewrote seed to contain proper subcategories and fix equation variables"
"Kieran O'Driscoll","2016-07-21 01:51:57 +0000","Revert "Rewrite seed to include categories, all subcategories, Fix equation variables in seed, etc""
"Kieran O'Driscoll","2016-07-21 01:43:04 +0000","Rewrite seed to include categories, all subcategories, Fix equation variables in seed, etc"
"JeffChung2","2016-07-20 20:26:36 -0400","move file"
"giacrom","2016-07-20 18:52:20 -0400","Create style.css"
"swar8080","2016-07-19 17:10:30 -0400","equation variables now created in sir trevor module"
"rmoro","2016-07-19 17:05:39 -0400","changed suggestions around a bit"
"rmoro","2016-07-19 16:57:47 -0400","fixed search to include body and labels"
"swar8080","2016-07-19 16:15:48 -0400","fixing previous commit"
"swar8080","2016-07-19 15:04:37 -0400","added variable labels to equation blocks so writers can describe equations in more detail"
"swar8080","2016-07-19 14:59:15 -0400","added variable labels to equation blocks so writers can describe equations in more detail"
"giacrom","2016-07-19 14:47:35 -0400","Add files via upload"
"kcolletripp","2016-07-19 14:15:17 -0400","as per michael's suggestion, fixes reseeding"
"rmoro","2016-07-19 10:13:01 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"rmoro","2016-07-19 10:12:06 -0400","unneeded method"
"Robert Morouney","2016-07-19 10:08:18 -0400","Update database.yml"
"rmoro","2016-07-19 09:42:34 -0400","Revert "playing with active record and changed seed file for images""
"rmoro","2016-07-18 23:47:59 -0400","playing with active record and changed seed file for images"
"rmoro","2016-07-18 22:24:33 -0400","see last commit"
"rmoro","2016-07-18 22:23:23 -0400","Removed ldap"
"rmoro","2016-07-18 22:22:32 -0400","removed ldap"
"rmoro","2016-07-18 22:20:53 -0400","added some authentication filters..."
"Mike Roher","2016-07-19 02:03:52 +0000","Fixing merge conflict"
"Mike Roher","2016-07-19 02:00:12 +0000","Image Upload Is Now Working!"
"rmoro","2016-07-18 21:22:04 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"romanlipisiy","2016-07-18 19:35:42 -0400","Update Diagram.csv"
"Roman Lipisiy","2016-07-18 19:25:39 -0400","Made a mistake uploaded wrong file"
"Roman Lipisiy","2016-07-18 18:57:49 -0400","fix Jordans diagrams"
"Eric Jiang","2016-07-18 15:50:24 -0400","Fixed error"
"Eric Jiang","2016-07-18 15:36:47 -0400","MathJax formulas added"
"swar8080","2016-07-18 12:28:34 -0400","added browser support check for sandboxed iframes"
"Joseph","2016-07-18 11:14:30 -0400","Change the click and drag area for the bow diagram so that it is more user friendly"
"Mike Roher","2016-07-18 15:05:07 +0000","Added Ability To Edit Articles Edit is now working. Currently only works with text blocks but will be integrated with more blocks shortly."
"viss3240","2016-07-18 09:33:39 -0400","add new vector math diagram"
"Brian Oh","2016-07-18 03:14:13 -0400","Final revisions complete."
"Brian Oh","2016-07-18 03:07:48 -0400","Final revisions completed."
"gstarmvp","2016-07-18 01:25:23 -0400","changes on slide menu"
"chan6240","2016-07-18 00:00:12 +0000","Changed article image seed to 400x400"
"chan6240","2016-07-17 23:58:49 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD"
"chan6240","2016-07-17 23:58:28 +0000","Changed seed image to another host"
"giacrom","2016-07-17 19:52:17 -0400","Update elastic_collision.html"
"giacrom","2016-07-17 19:50:22 -0400","Create elastic_collision.js"
"wuxx4780","2016-07-17 18:18:50 -0400","Updated the Modular document to fix some changes on Fundamentals II Research"
"wu wen","2016-07-17 17:54:40 -0400","Create readme.txt"
"josephvannelli","2016-07-17 17:35:29 -0400","Create readme.txt"
"josephvannelli","2016-07-17 17:28:59 -0400","Update Diagrams.csv"
"rmoro","2016-07-17 16:26:02 -0400","formatting.. (-3-)"
"Robert Morouney","2016-07-17 16:22:18 -0400","Create database.yml"
"kcolletripp","2016-07-17 16:19:38 -0400","fixed syntax"
"kcolletripp","2016-07-17 16:12:45 -0400","added requirements"
"Omid","2016-07-17 16:07:26 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"kcolletripp","2016-07-17 16:07:09 -0400","todo for me and Omid"
"Omid","2016-07-17 16:06:12 -0400","changes the subcategory looks"
"Joseph","2016-07-17 15:44:37 -0400","Add the ability to click and drag the bow"
"stevenlusonggao","2016-07-17 09:37:16 -0400","Law of Reflection Animation"
"stevenlusonggao","2016-07-17 09:18:58 -0400","Added Lables to Hooke's Law Animation"
"chan6240","2016-07-17 05:47:57 +0000","Change Image administrate dashboard to display attached image but I think the image controller has not been working properly at all, to be looked at"
"rmoro","2016-07-16 22:46:02 -0400","..."
"rmoro","2016-07-16 22:44:40 -0400","cant make it work"
"Robert Morouney","2016-07-16 22:37:54 -0400","Update database.yml"
"rmoro","2016-07-16 22:32:09 -0400","ç”»è›‡æ·»è¶³"
"rmoro","2016-07-16 22:28:04 -0400","å¼¹æœðŸ’£"
"swar8080","2016-07-16 22:23:58 -0400","added a diagram block prototype and partial for rendering it in a sandboxed iframe"
"rmoro","2016-07-16 18:22:04 -0400","I was editing the wrong gitignore >_<!!!!"
"Franco Wong","2016-07-16 21:08:32 +0000","removed unnecessary tags"
"Mike Roher","2016-07-16 20:59:29 +0000","Revert "removed unnecessary tags""
"Mike Roher","2016-07-16 20:52:27 +0000","removed unnecessary tags"
"WALLISE WU","2016-07-16 16:42:11 -0400","UML updated"
"WALLISE WU","2016-07-16 16:39:31 -0400","updated back-end UML diagrams"
"franco-wong","2016-07-16 16:36:43 -0400","Removed unnecessary tags for subcategory page"
"WALLISE WU","2016-07-16 16:07:13 -0400","Updated UML diagram for Users module"
"Mike Roher","2016-07-16 17:56:59 +0000","added comments to metadata injection"
"Mike Roher","2016-07-16 17:47:46 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD"
"Mike Roher","2016-07-16 17:43:41 +0000","Article Titles And Subcategories Working"
"stevenlusonggao","2016-07-15 22:49:01 -0400","Update Diagrams.csv"
"Steven Gao","2016-07-15 22:18:17 -0400","Hookes Law Animation"
"Mike Roher","2016-07-16 02:01:15 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD"
"Mike Roher","2016-07-16 02:01:06 +0000","Spring cleaning"
"Jimmyqlx","2016-07-15 15:45:40 -0400","what is elasticsearch"
"Kieran O'Driscoll","2016-07-15 04:58:05 +0000","Quick changes to dashboard views"
"Kieran O'Driscoll","2016-07-15 04:38:25 +0000","fixes to admin dashboards, add image and image_block dashboard"
"Kieran O'Driscoll","2016-07-15 04:23:32 +0000","Add seeding for articles, update dashboards to show more helpful information"
"wu wen","2016-07-14 20:23:36 -0400","Update Diagrams.csv"
"wu wen","2016-07-14 20:20:46 -0400","Create readme.txt"
"wu wen","2016-07-14 20:09:10 -0400","Delete readme.txt"
"viss3240","2016-07-14 18:17:42 -0400","new vector math svg diagram and javascript files"
"viss3240","2016-07-14 18:14:17 -0400","Update ReadMe.txt"
"viss3240","2016-07-14 18:12:19 -0400","Create ReadMe.txt"
"josephvannelli","2016-07-14 17:45:54 -0400","Delete bow.html"
"josephvannelli","2016-07-14 17:45:29 -0400","Delete free_body.html"
"Joseph","2016-07-14 17:43:46 -0400","Convert the html file to an svg file and add updated css for the buttons"
"Joseph","2016-07-14 17:12:43 -0400","update the readme for the elastic potential energy bow diagram"
"Joseph","2016-07-14 17:06:31 -0400","Add updated css for buttons, add ability for users to change the value of the spring force constant and converted the html file into an svg file"
"wu wen","2016-07-14 16:57:20 -0400","Create readme.txt"
"Jimmyqlx","2016-07-14 16:46:28 -0400","Basic model of search controller"
"wu wen","2016-07-14 16:45:15 -0400","Update readme.txt"
"wu wen","2016-07-14 16:39:06 -0400","Create springmove.js"
"wu wen","2016-07-14 16:36:33 -0400","Create spring.html"
"Roman Lipisiy","2016-07-14 15:14:26 -0400","Fix Headings in the about page"
"Aman Kumar","2016-07-14 01:48:55 -0400","Updated MathJax Equations"
"Aman Kumar","2016-07-14 01:34:15 -0400","Learned mathjax and added equations for all concepts of classical mechanics"
"rmoro","2016-07-14 00:41:22 -0400","updated stats for the week"
"rmoro","2016-07-14 00:02:49 -0400","see last commit"
"rmoro","2016-07-14 00:01:19 -0400","fixed the leaf in the logo so it doesnt look like it was chopped off"
"rmoro","2016-07-13 23:31:13 -0400","linked home page to search and removed the awful looking search in header when on the front page."
"rmoro","2016-07-13 22:50:57 -0400","accidentally had kept some elastic search mappings in this file"
"rmoro","2016-07-13 22:45:48 -0400","Added searchkick"
"rmoro","2016-07-13 22:38:04 -0400","switched to searchkick https://github.com/ankane/searchkick"
"rmoro","2016-07-13 22:15:23 -0400","added a few mappings to searchable.rb (work in progress)"
"rmoro","2016-07-13 21:54:40 -0400","Added some elasticsearch mappings for testing"
"Ryan Mak","2016-07-13 20:52:55 -0400","Added Matrix Treatment of Polarization part 2"
"Ryan Mak","2016-07-13 19:19:06 -0400","Added Matrix Treatment of Polarization"
"Robert Morouney","2016-07-13 18:05:12 -0400","Update .gitignore"
"swar8080","2016-07-13 14:47:22 -0400","Update README.md"
"swar8080","2016-07-13 14:45:56 -0400","updated UML viewing/editing instructions"
"JeffChung2","2016-07-13 13:45:46 -0400","added more formulas"
"JeffChung2","2016-07-13 13:32:38 -0400","renamed to modular version"
